=== HSK1 ===
爱|ài|yêu
悲惨|bēicǎn|bi thảm,
悲哀|bēiāi|đau lòng , đau xót ( hiện tượng xã hội, người thân mất đi)
奔驰|bēnchí|chạy băng băng
奔波|bēnbō|bôn ba, chạy đi chạy lại (giữa hai nơi)
备忘录|bèiwànglù|bản ghi nhớ
备份|bèifèn|cóp py thêm (phần mềm, tài liệu)
卑鄙|bēibǐ|bỉ ổi
北极|běijí|Bắc cực
鼻涕|bítì|nước mũi
闭塞|bìsè|tắc nghẽn, bế tắc
鄙视|bǐshì|khinh thường
逼迫|bīpò|bắt buộc
迸发|bèngfā|bung ra, rộ lên, khơi gợi
蹦|bèng|nhảy bật, bật
笨拙|bènzhuō|vụng về
甭|béng|không cần
比重|bǐzhòng|tỉ trọng
比方|bǐfāng|ví dụ
比喻|bǐyù|phép so sánh
本身|běnshēn|tự nó (dành cho vật, sự việc)
本人|běnrén|chính bản thân ai
本事|běnshi|bản lĩnh
弊病|bìbìng|mặt hạn chế, cái xấu, tệ nạn
崩溃|bēngkuì|tan vỡ, sụp đổ
鞭策|biāncè|đôn đốc, đốc thúc
遍布|biànbù|phân bố, rải rác
边缘|biānyuán|vùng ven
边疆|biānjiāng|biên cương, biên ải
边界|biānjiè|đường biên giới
边境|biānjìng|biên thùy
辨认|biànrèn|nhận biết
贬低|biǎndī|hạ thấp (cô ấy, phụ nữ, tính quan trọng, công việc)
贬义|biǎnyì|nghĩa xấu
臂|bì|cánh tay
编织|biānzhī|đan lát
扁|biǎn|dẹt, bẹt
弊端|bìduān|sai lầm (gây tổn thất)
变迁|biànqiān|thay đổi (thời đại, nhân sự, quan điểm, ngữ âm, khí hậu)
部署|bùshǔ|phân công (nhiệm vụ, nhân lực)
部位|bùwèi|bộ phận
辫子|biànzi|bím tóc
辩证|biànzhèng|biện chứng
辩解|biànjiě|giải thích (do bị hiểu nhầm hoặc chỉ trích)
辩护|biànhù|biện hộ
表态|biǎotài|tỏ thái độ rõ ràng
表彰|biǎozhāng|tuyên dương, biểu dương
表决|biǎojué|biểu quyết, bầu
补贴|bǔtiē|trợ cấp
补救|bǔjiù|cứu vãn
补偿|bǔcháng|bồi thường, bù đắp
薄弱|bóruò|yếu đuối (ý chí), yếu (binh lực, sức mạnh)
濒临|bīnlín|kề cận, giáp
波涛|bōtāo|sóng to
波浪|bōlàng|sóng
步伐|bùfá|nhịp bước, bước chân
标题|biāotí|tiêu đề
标记|biāojì|kí hiệu, dấu
标本|biāoběn|tiêu bản, mẫu vật
播种|bōzhǒng|gieo hạt
搏斗|bódòu|vật lộn
捕捉|bǔzhuō|bắt, tóm, chộp
拨|bō|gạt, đẩy
憋|biē|kìm nén, nín nhịn
并非|bìngfēi|không chắc
并列|bìngliè|ngang hàng
布置|bùzhì|bày biện, bố trí (công việc), giao (bài tập về nhà)
布局|bùjú|bố cục
布告|bùgào|thông báo
哺乳|bǔrǔ|nuôi bằng sữa mẹ
变质|biànzhì|hỏng, hư (đồ ăn)
变故|biàngù|biến cố, tai nạn
博览会|bólǎnhuì|hội chợ
博大精深|bódàjīngshēn|uyên bác, uyên thâm (học thức, học vấn, tư tưởng) thâm thúy (văn hóa)
剥削|bōxuē|bóc lột
别致|biézhì|khác biệt
别扭|bièniu|không thuận, không thông, khúc mắc
别墅|biéshù|biệt thự
冰雹|bīngbáo|mưa đá
便条|biàntiáo|giấy nhớ
便利|biànlì|tiện lợi cho (người dân, mọi người)
便于|biànyú|tiện cho việc (học tập, vệ sinh, thảo luận)
伯母|bómǔ|bác gái
丙|bǐng|bính
不顾|bùgù|bất chấp
不言而喻|bùyánéryù|rõ mồn một
不禁|bùjīn|không kiềm được
不相上下|bùxiāngshàngxià|ngang tài ngang sức
不由得|bùyóudé|đành phải
不止|bùzhǐ|không chỉ (một lần )
不时|bùshí|đôi khi, thỉnh thoảng
不料|bùliào|không ngờ
不敢当|bùgǎndāng|không dám
不择手段|bùzéshǒuduàn|không từ thủ đoạn
不愧|bùkuì|xứng đáng
不惜|bùxī|không tiếc
不得已|bùdéyǐ|bất đắc dĩ
不屑一顾|bùxièyīgù|không đáng quan tâm
不妨|bùfáng|đừng ngại
不堪|bùkān|quá mức chịu đựng
不可思议|bùkěsīyì|không thể tưởng tượng nổi
不免|bùmiǎn|không tránh khỏi
不像话|bùxiànghuà|chẳng ra làm sao cả
馋|chán|thèm, ham
颤抖|chàndǒu|run rẩy
雌雄|cíxióng|thắng bại, sống mái
除|chú|trừ, chia (phép tính)
陈述|chénshù|tường trình, trần thuật
陈旧|chénjiù|lỗi thời, cũ kĩ
陈列|chénliè|trưng bày, bày
阐述|chǎnshù|trình bày
锤|chuí|cái búa
钞票|chāopiào|tờ tiền
重叠|chóngdié|lặp lại
采集|cǎijí|hái lượm, thu thập
采购|cǎigòu|mua, thu mua
采纳|cǎinà|tiếp nhận, tiếp thu
迟钝|chídùn|chậm chạp (hành động, phản ứng, hoạt động)
迟缓|chíhuǎn|chậm, chậm lại
迟疑|chíyí|lưỡng lự
超越|chāoyuè|vượt qua, vượt (đối thủ, thời gian, tuổi tác, thành tựu)
赤道|chìdào|xích đạo
赤字|chìzì|bội chi
财政|cáizhèng|tài chính
财富|cáifù|tài sản, sự giàu có
财务|cáiwù|tài vụ
诧异|chàyì|kinh ngạc
诚挚|chéngzhì|chân thành
触犯|chùfàn|xâm phạm (luật, quyền), xúc phạm
裁缝|cáiféng|may vá
裁员|cáiyuán|giảm biên chế, cắt giảm nhân viên
裁判|cáipàn|trọng tài
衬托|chèntuō|làm nổi bật
草率|cǎoshuài|qua loa, vội vàng (quyết định)
草案|cǎoàn|bản thảo
苍白|cāngbái|trắng bệch
船舶|chuánbó|thuyền bè
舱|cāng|khoang, buồng (trên tàu, máy bay)
脆弱|cuìruò|yếu đuối, yếu mềm, mỏng manh
缠绕|chánrào|quấn, quấn quanh
纯粹|chúncuì|nguyên chất, đơn thuần là
纯洁|chúnjié|trong sạch (tâm hồn, tổ chức, đội ngũ)
粗鲁|cūlǔ|thô lỗ
筹备|chóubèi|chuẩn bị, trù bị
策略|cèlüè|sách lược
策划|cèhuà|vạch ra, chuẩn bị, lên kế hoạch
窜|cuàn|lủi, chuồn, chạy toán loạn
穿越|chuānyuè|xuyên qua, vượt qua
稠密|chóumì|dày đặc
称心如意|chènxīnrúyì|vừa lòng hợp ý
称号|chēnghào|danh hiệu
秤|chèng|cân
磋商|cuōshāng|hội ý, trao đổi, bàn bạc
磁带|cídài|băng từ
盛|chéng|chứa, đựng
畅销|chàngxiāo|bán chạy
畅通|chàngtōng|thông suốt
炊烟|chuīyān|khói
灿烂|cànlàn|xán lạn
澄清|chéngqīng|làm rõ
潮流|cháoliú|trào lưu
测量|cèliáng|đo lường, đo
沉闷|chénmèn|trầm tính, buồn tẻ, tẻ ngắt
沉重|chénzhòng|nặng nề, nặng trĩu
沉着|chénzhuó|bình thản
沉淀|chéndiàn|kết tủa, lắng
沉思|chénsī|trầm ngâm suy tư
残酷|cánkù|tàn khốc, tàn nhẫn
残疾|cánjí|tàn tật
残留|cánliú|tan dư
残忍|cánrěn|tàn nhẫn
次序|cìxù|thứ tự
次品|cìpǐn|loại hai, thứ phẩm
橙|chéng|cam
柴油|cháiyóu|dầu diesel
查获|cháhuò|khám xét, khám (thuốc phiện, ma túy)
朝代|cháodài|triều đại
昌盛|chāngshèng|hưng thịnh, hưng vượng
敞开|chǎngkāi|mở toang, mở (lòng)
操练|cāoliàn|thao luyện
操纵|cāozòng|thao túng, khống chế
操劳|cāoláo|chăm chỉ làm việc
操作|cāozuò|thao tác, vận hành (máy móc)
撤销|chèxiāo|hủy, bãi bỏ, hủy bỏ (bản án, phán quyết, tội danh), cách chức, tước (giấy phép)
撤退|chètuì|lui, rút lui (binh)
摧残|cuīcán|tàn phá, phá hủy
搓|cuō|xoay, xoắn, vặn
搀|chān|trộn, lẫn, nâng, đỡ
插座|chāzuò|o cắm
挫折|cuòzhé|thất bại, trở ngại
持久|chíjiǔ|dài lâu, lâu dài
承诺|chéngnuò|cam kết, lời hứa
承包|chéngbāo|thầu, nhận thầu
承办|chéngbàn|đăng cai, đứng ra tổ chức
才干|cáigàn|năng lực, tài cán
成本|chéngběn|chi phí, giá thành
成效|chéngxiào|hiệu quả (đạt được)
成心|chéngxīn|cố tình, cố ý
成天|chéngtiān|suốt ngày
成员|chéngyuán|thành viên
成交|chéngjiāo|đạt thỏa thuận
慈祥|cíxiáng|hiền từ, hiền hậu (ánh mắt, nụ cười, khuôn mặt)
慈善|císhàn|từ thiện
惩罚|chéngfá|trừng phạt
彩票|cǎipiào|vé xổ số
床单|chuángdān|ga giường
差别|chābié|sự khác biệt
巢穴|cháoxué|tổ, hang, tổ ấm
川流不息|chuānliúbùxī|dòng chảy không ngừng, tấp nập
崇高|chónggāo|cao cả
崇敬|chóngjìng|ngợi ca, thán phục, khâm phục
崇拜|chóngbài|sùng bái, tôn sùng
岔|chà|rẽ, ngoặt
层次|céngcì|trình tự, cấp độ
层出不穷|céngchūbùqióng|tầng tầng lớp lớp
尝试|chángshì|thử, nếm trải
处置|chǔzhì|xử trí, xử lý
处境|chǔjìng|cảnh ngộ, hoàn cảnh
处分|chǔfèn|trừng phạt
城堡|chéngbǎo|thành lũy
垂直|chuízhí|vuông góc
场面|chǎngmiàn|cảnh
场所|chǎngsuǒ|nơi
场合|chǎnghé|trường hợp, hoàn cảnh, nơi
嘲笑|cháoxiào|nhạo báng
嘈杂|cáozá|ồn ào
喘气|chuǎnqì|hổn hển, thở dốc
呈现|chéngxiàn|bày ra (cảnh tượng)
吹牛|chuīniú|nói phét
吹捧|chuīpěng|tâng bốc, ca tụng
吃苦|chīkǔ|chịu khổ
吃力|chīlì|tốn sức
参谋|cānmóu|tham mưu
参照|cānzhào|tham khảo, đối chiếu
刺|cì|đâm, chích, chọc
刹那|chànà|chốc lát, chớp mắt
初步|chūbù|bước đầu
创立|chuànglì|sáng lập, xây dựng (hệ thống, lý luận, chính quyền, đảng)
创新|chuàngxīn|sáng tạo
创作|chuàngzuò|sáng tác, xây dựng (dùng trong tác phẩm nghệ thu, hội họa, tiểu thuyết)
创业|chuàngyè|lập nghiệp, sáng nghiệp
出身|chūshēn|xuất thân
出路|chūlù|đường ra
出神|chūshén|xuất thần
出息|chūxī|tiền đồ, triển vọng
出卖|chūmài|bán, bán rẻ
凑合|còuhé|tập hợp, gom góp
冲突|chōngtū|xung đột, mâu thuân
冲动|chōngdòng|bồng bột, xốc nổi, manh động
冲击|chōngjī|xô vào, đập vào, xung kích
充足|chōngzú|đầy đủ
充沛|chōngpèi|dồi dào, dạt dào
充当|chōngdāng|đảm đương (vị trí
充实|chōngshí|tăng cường, bổ sung cho đủ
储蓄|chǔxù|gửi tiết kiệm
储存|chǔcún|cất, giữ (tiền, tư liệu)
储备|chǔbèi|dự trữ, để dành (ngoại hối,vàng, lương thực, thức ăn)
偿还|chánghuán|trả nợ
倡议|chàngyì|sáng kiến
倡导|chàngdǎo|khởi xướng, mở đầu
侧面|cèmiàn|mặt nghiêng
伺候|cìhòu|hầu hạ, phục dịch
传达|chuándá|truyền đạt
传授|chuánshòu|truyền thụ
传单|chuándān|truyền đơn, tờ rơi
仓库|cāngkù|kho
仓促|cāngcù|vội vã (chỉ thời gian hay hành động)
从容|cóngróng|ung dung, khoan thai
产业|chǎnyè|sản nghiệp
乘|chéng|đáp (chuyến tàu,
串|chuàn|chuỗi
丛|cóng|bụi, lùm, khóm
丑恶|chǒuè|xấu xa
颠簸|diānbǒ|lắc lư, tròng trành
颠倒|diāndǎo|đảo ngược
顿时|dùnshí|lâp tức
雕塑|diāosù|tượng
雕刻|diāokè|điêu khắc
陡峭|dǒuqiào|dốc thẳng đứng
队伍|duìwǔ|đội ngũ
逮捕|dàibǔ|bắt giữ
递增|dìzēng|tăng dần
达成|dáchéng|đạt được
蹬|dēng|đạp, giẫm
跌|diē|ngã, té, rơi
赌博|dǔbó|cờ bạc
调动|diàodòng|điều động
诞辰|dànchén|sinh nhât
诞生|dànshēng|ra đời, sinh ra
蛋白质|dànbáizhì|protein
董事长|dǒngshìzhǎng|chủ tịch hội đồng quản trị
胆怯|dǎnqiè|nhút nhát
答辩|dábiàn|bảo vệ (luận văn)
答复|dáfù|trả lời
等级|děngjí|đẳng cấp, cấp bậc
等候|děnghòu|chờ đợi
端正|duānzhèng|đoan chính (hành vi, thái độ, ngũ quan, phẩm hạnh)
端午节|duānwǔjié|tết Đoan Ngọ
端|duān|bưng, đầu mút
稻谷|dàogǔ|hạt thóc
短促|duǎncù|ngắn ngủi, ngắn gọn
瞪|dèng|trợn mắt, trợn trừng
督促|dūcù|đôn đốc
盯|dīng|nhìn chằm chằm
盗窃|dàoqiè|trộm cướp
登陆|dēnglù|đổ bộ, lên bờ
登录|dēnglù|đăng nhập
电源|diànyuán|nguồn điện
独裁|dúcái|độc tài
点缀|diǎnzhuì|tô điểm
灯笼|dēnglóng|đèn lồng
淡水|dànshuǐ|nước ngọt
淡季|dànjì|trái mùa
毒品|dúpǐn|ma túy, thuốc phiện
歹徒|dǎitú|tên vô lại, kẻ xấu
档次|dàngcì|đẳng cấp, thứ bậc
档案|dàngàn|hồ sơ
栋|dòng|xà ngang, tòa nhà
杜绝|dùjué|chắn đứng (tham ô, lãng phí….)
断绝|duànjué|đoạn tuyệt, cắt đứt (mối quan hệ)
断定|duàndìng|dám chắc
斗争|dòuzhēng|đấu tranh
敌视|díshì|thù địch
搭配|dāpèi|kết hợp
搭档|dādàng|hợp tác, người hợp tác
搭|dā|mắc, vắt, đắp, đáp
捣乱|dǎoluàn|phá đám, quấy rối
担保|dānbǎo|dám cá, đảm bảo
抵达|dǐdá|đến nơi
抵抗|dǐkàng|chống lại, chống cự
抵制|dǐzhì|ngăn chặn
打量|dǎliang|thăm dò, phân tích (đối thủ, đối phương)
打猎|dǎliè|săn bắn
打架|dǎjià|đánh nhau, đánh lộn
打官司|dǎguānsī|kiện tụng
打包|dǎbāo|đóng hộp
打击|dǎjī|đả kích
打仗|dǎzhàng|đánh nhau (chiến tranh)
惦记|diànjì|nghĩ đến
怠慢|dàimàn|lạnh nhạt, thờ ơ
得罪|dézuì|đắc tội
得天独厚|détiāndúhòu|được ưu ái
得力|délì|được lợi, đắc lực
得不偿失|débùchángshī|lợi ít hại nhiều, lợi bất cập hại
当面|dāngmiàn|trước mặt
当选|dāngxuǎn|trúng cử
当场|dāngchǎng|tại chỗ
当务之急|dāngwùzhījí|việc cấp bách
当前|dāngqián|hiện nay
当初|dāngchū|lúc đầu
当代|dāngdài|đương đại
当事人|dāngshìrén|đương sự
带领|dàilǐng|dẫn dắt
导航|dǎoháng|chỉ đường, dẫn đường (hệ thống )
导弹|dǎodàn|tên lửa
导向|dǎoxiàng|hướng dẫn
对联|duìlián|câu đối
对策|duìcè|đối sách
对立|duìlì|đối lập
对称|duìchèn|đối xứng
对照|duìzhào|đối chiếu
对抗|duìkàng|chống đối, đối kháng
对应|duìyìng|tương ứng
对付|duìfù|đối phó
定期|dìngqī|định kì
定义|dìngyì|định nghĩa
奠定|diàndìng|đặt, làm cho chắc
大致|dàzhì|khoảng, chính, chung
大臣|dàchén|đại thần
大肆|dàsì|không kiêng dè, không kiêng nể, vô tội vạ
大意|dàyì|đại ý, sơ ý
大体|dàtǐ|nhìn chung
大伙儿|dàhuǒr|mọi người
大不了|dàbùliǎo|chẳng qua, chỉ là
多元化|duōyuánhuà|đa nguyên hóa
堵塞|dǔsè|tắc nghẽn
堤坝|dībà|đề điều, đê đập
堕落|duòluò|trượt dốc (con người)
堆积|duījī|đắp đống
垫|diàn|đệm, cái lót
地质|dìzhì|địa chất
地步|dìbù|bước, mức
地势|dìshì|địa thế
哆嗦|duōsuo|run cầm cập, run lẩy bẩy
吊|diào|móc, treo
叼|diāo|ngoạm, ngậm
叮嘱|dīngzhǔ|căn dặn, dặn dò
动静|dòngjìng|động tĩnh
动身|dòngshēn|khởi hành, lên đường
动荡|dòngdàng|biến động, gợn sóng
动脉|dòngmài|động mạch
动机|dòngjī|động cơ
动手|dòngshǒu|bắt tay làm
动态|dòngtài|động thái
动员|dòngyuán|huy động
动力|dònglì|động lực
冻结|dòngjié|đông cứng
典礼|diǎnlǐ|nghi lễ
典型|diǎnxíng|điển hình
兜|dōu|túi
党|dǎng|đảng
兑现|duìxiàn|thực hiện (lời hứa), đổi tiền mặt (ngân phiếu)
倒闭|dǎobì|đóng cửa, phá sản
代理|dàilǐ|đại diện, đại lý
代价|dàijià|giá phải trả
丢人|diūrén|mất mặt
丢三落四|diūsānlàsì|hay quên, quên trước quên sau
东道主|dōngdàozhǔ|chủ nhà
东张西望|dōngzhāngxīwàng|nhìn đông nhìn tây, nhìn quanh
丁|dīng|đinh
额外|éwài|ngoài định mức
遏制|èzhì|kiềm chế, chặn đứng
而已|éryǐ|mà thôi
恶心|ěxīn|buồn nôn
恶化|èhuà|xấu đi
恩怨|ēnyuàn|ân oán
二氧化碳|èryǎnghuàtàn|CO2
飞跃|fēiyuè|nhảy vọt
飞翔|fēixiáng|bay
飞禽走兽|fēiqínzǒushòu|chim muông
风趣|fēngqù|thú vị, dí dỏm
风气|fēngqì|lối sống, nếp sống
风暴|fēngbào|gió bão
风度|fēngdù|phong độ
风土人情|fēngtǔrénqíng|phong tục tập quán
风味|fēngwèi|phong vị, mùi vị
风光|fēngguāng|phong cảnh
非法|fēifǎ|phi pháp
附属|fùshǔ|thuộc, thuộc về
附和|fùhè|hùa theo, phụ họa
附件|fùjiàn|phụ kiện, đính kèm
防治|fángzhì|phòng và chữa bệnh
防止|fángzhǐ|ngăn ngừa, ngăn chặn
防御|fángyù|phòng ngự
防守|fángshǒu|phòng thủ
锋利|fēnglì|sắc, nhọn, sắc bén, sắc sảo
逢|féng|gặp gỡ
辐射|fúshè|bức xạ
辅助|fǔzhù|phò trợ
赋予|fùyǔ|trao, trao cho (trọng trách, sứ mệnh)
贩卖|fànmài|buôn lậu
负担|fùdān|gánh (trách nhiệm, chi phí, công việc), gánh nặng
诽谤|fěibàng|phỉ báng
访问|fǎngwèn|đến thăm
覆盖|fùgài|che phủ, bao phủ
范畴|fànchóu|phạm trù
腹泻|fùxiè|ỉa chảy
腐败|fǔbài|ôi thiu, thối nát
腐蚀|fǔshí|ăn mòn, bào mòn
腐烂|fǔlàn|hoại tử, thối rữa, thối nát
腐朽|fǔxiǔ|mục, mục ruỗng
肺|fèi|phổi
肥沃|féiwò|phì nhiêu, màu mỡ
纺织|fǎngzhī|dệt
繁殖|fánzhí|sinh sôi, phồn thực
繁忙|fánmáng|bận rộn, nhộn nhịp
繁华|fánhuá|phồn hoa
繁体字|fántǐzì|chữ phồn thể
粉色|fěnsè|màu hồng
粉碎|fěnsuì|vỡ vụn, vỡ tan tành
粉末|fěnmò|bụi, phấn, bột
符号|fúhào|dấu, ký hiệu
福气|fúqì|tốt phúc, có phúc
福利|fúlì|phúc lợi
番|fān|lật, giở
泛滥|fànlàn|tràn, tràn lan
法人|fǎrén|pháp nhân
沸腾|fèiténg|sôi sùng sục (nước), sục sôi
服气|fúqì|chịu thua, chịu phục
服从|fúcóng|phục tùng
方针|fāngzhēn|phương châm
方言|fāngyán|tiếng địa phương
方圆|fāngyuán|chu vi hình tròn
方位|fāngwèi|phương hướng, phương vị
敷衍|fūyǎn|qua quýt, hời hợt, cầm cự
放射|fàngshè|chiếu sáng, phóng
放大|fàngdà|phóng to
抚摸|fǔmō|xoa
抚养|fǔyǎng|nuôi dưỡng
愤怒|fènnù|phẫn nộ
废除|fèichú|xóa bỏ (chế độ, phí, qui ước)
废寝忘食|fèiqǐnwàngshí|quên ăn quên ngủ
废墟|fèixū|hoang tàn
幅度|fúdù|biên độ
封闭|fēngbì|đóng cửa(không được hoạt động), đóng,
封锁|fēngsuǒ|phong tỏa
封建|fēngjiàn|phong kiến
富裕|fùyù|giàu có
奉献|fèngxiàn|hiến dâng, tinh thần hi sinh
夫妇|fūfù|phụ nữ
夫人|fūrén|phu nhân
复活|fùhuó|sống lại (miêu tả sự khôi phục)
复兴|fùxīng|phục hưng
坟墓|fénmù|mộ phần
吩咐|fēnfù|căn dặn
否决|fǒujué|phủ quyết
发财|fācái|phát tài
发誓|fāshì|thề
发觉|fājué|nhận ra, phát hiện
发行|fāxíng|phát hành (sách, đĩa CD)
发育|fāyù|phát triển (cơ thể)
发炎|fāyán|viêm (họng, mắt, răng, vết thương)
发扬|fāyáng|phát huy
发布|fābù|công bố
发射|fāshè|bắn
发呆|fādāi|đờ người ra, đơ ra
发动|fādòng|phát động
反驳|fǎnbó|phản bác
反馈|fǎnkuì|phản hồi
反面|fǎnmiàn|phản diện, mặt sau
反问|fǎnwèn|phản vấn, hỏi vặn lại
反抗|fǎnkàng|phản kháng
反感|fǎngǎn|ác cảm
反思|fǎnsī|suy ngẫm
反常|fǎncháng|bất thường
反射|fǎnshè|phản chiếu
反之|fǎnzhī|ngược lại
副|fù|phó, phụ
分量|fènliàng|trọng lượng, sức nặng
分辨|fēnbiàn|phân biệt
分解|fēnjiě|phân ly, phân tích
分裂|fēnliè|tách ra, phân tách
分红|fēnhóng|tiền thưởng
分泌|fēnmì|bài tiết, tiết ra
分歧|fēnqí|bất đồng (quan điểm), khác nhau
分明|fēnmíng|rõ ràng, phân minh
分散|fēnsàn|phân tán
分寸|fēncùn|đúng mực, có chừng mực
凡是|fánshì|phàm là
俯视|fǔshì|nhìn xuống
俘虏|fúlǔ|bắt tù binh, tù binh
丰盛|fēngshèng|đầy đủ, phong phú (thức ăn thức uống)
丰满|fēngmǎn|sung túc, đầy đủ, đầy ắp, đầy đặn
丰收|fēngshōu|được mùa
鼓动|gǔdòng|hưởng ứng, vận động
鸽子|gēzi|bồ câu
高超|gāochāo|cao siêu
高潮|gāocháo|cao trào
高涨|gāozhǎng|dâng cao, tăng cao
高明|gāomíng|cao minh
高峰|gāofēng|đỉnh (hình sin), cao điểm
高尚|gāoshàng|cao thượng
骨干|gǔgàn|cốt cán
顾问|gùwèn|cố vấn
顾虑|gùlǜ|băn khoăn, phân vân
革命|gémìng|cách mạng
雇佣|gùyōng|thuê
隔阂|géhé|bất hòa
隔离|gélí|cách li
钩子|gōuzi|cái móc
钙|gài|canxi
过问|guòwèn|hỏi han quá nhiều
过瘾|guòyǐn|đã đời, thỏa nguyện
过滤|guòlǜ|lọc
过渡|guòdù|quá độ (giai đoạn)
过度|guòdù|quá mức
过奖|guòjiǎng|quá khen
过失|guòshī|lỗi lầm, sai lầm
过于|guòyú|quá mức
辜负|gūfù|phụ lòng
轨道|guǐdào|đường ray
跪|guì|quì
跟随|gēnsuí|theo
跟踪|gēnzōng|theo dấu
跟前|gēnqián|bên cạnh, ngay sát
贵族|guìzú|quí tộc
贯彻|guànchè|quán triệt
规范|guīfàn|qui phạm, mẫu mực
规章|guīzhāng|bản qui định
规格|guīgé|qui cách
规划|guīhuà|qui hoạch
观光|guānguāng|ngắm, tham quan
股份|gǔfèn|cổ phần
股东|gǔdōng|cổ đông
耕地|gēngdì|trồng trọt
罐|guàn|hộp, vại, lọ
纲领|gānglǐng|cương lĩnh
管辖|guǎnxiá|quản lý
稿件|gǎojiàn|bản thảo
盖章|gàizhāng|đóng dấu
疙瘩|gēda|mụn, da gà
灌溉|guàngài|tưới tiêu
港湾|gǎngwān|bến đỗ, bến thuyền
港口|gǎngkǒu|hải cảng
歌颂|gēsòng|ca tụng
棍棒|gùnbàng|gậy gộc, côn, gậy
格式|géshì|quy cách, cách thức
格局|géjú|mô hình
根源|gēnyuán|nguồn cơn, gốc rễ
根深蒂固|gēnshēndìgù|thâm căn cố đế
果断|guǒduàn|quyết đoán
构思|gòusī|ý tưởng, phác thảo
杠杆|gànggǎn|đòn bẩy
更正|gēngzhèng|sửa (chữ, thông tin)
更新|gēngxīn|đổi mới, làm mới
故障|gùzhàng|sự cố
故乡|gùxiāng|quê hương
攻击|gōngjī|công kích
攻克|gōngkè|công phá, phá đảo
改良|gǎiliáng|cải tạo
搁|gē|đặt, để
拐杖|guǎizhàng|gậy chống
感染|gǎnrǎn|nhiễm
感慨|gǎnkǎi|xúc động
惯例|guànlì|thông lệ, lệ, qui ước
恭敬|gōngjìng|cung kính
归还|guīhuán|trả về
归根到底|guīgēndàodǐ|xét đến cùng
广阔|guǎngkuò|rộng lớn
干预|gānyù|can dự
干涉|gānshè|can thiệp
干旱|gānhàn|khô hạn
干扰|gānrǎo|làm nhiễu, cản trở (ảnh hưởng xấu), nhiễu
干劲|gànjìn|tinh thần hăng hái
巩固|gǒnggù|củng cố
工艺品|gōngyìpǐn|đồ mỹ nghệ
岗位|gǎngwèi|cương vị
尴尬|gāngà|bối rối
宫殿|gōngdiàn|cung điện
官方|guānfāng|chính thức
孤立|gūlì|cô lập, tách rời
孤独|gūdú|cô độc
姑且|gūqiě|tạm, tạm thời
国防|guófáng|quốc phòng
国务院|guówùyuàn|chính phủ
固然|gùrán|tuy rằng
固有|gùyǒu|vốn có
固执|gùzhí|cố chấp
固体|gùtǐ|thể rắn
告辞|gàocí|cáo từ
告诫|gàojiè|khuyên bảo
各抒己见|gèshūjǐjiàn|phát biểu ý kiến
古董|gǔdǒng|đồ cổ
古怪|gǔguài|kì quái,
勾结|gōujié|câu kết
功效|gōngxiào|công hiệu
功劳|gōngláo|công lao
割|gē|cắt, gặt
关照|guānzhào|giúp đỡ
关怀|guānhuái|quan tâm
共鸣|gòngmíng|sự đồng cảm, cộng hưởng
共计|gòngjì|tính tổng
共和国|gònghéguó|nước Cộng hòa
公道|gōngdào|phải chăng (giá cả), nói cho công bằng
公证|gōngzhèng|công chứng
公认|gōngrèn|công nhận
公然|gōngrán|rõ ràng
公民|gōngmín|công dân
公正|gōngzhèng|công bằng (đối xử, giải quyết)
公式|gōngshì|công thức
公安局|gōngānjú|sở công an
公告|gōnggào|thông cáo
公务|gōngwù|công vụ
公关|gōngguān|quan hệ công chúng
光辉|guānghuī|vầng hào quang, ánh hào quang
光荣|guāngróng|vinh quang
光芒|guāngmáng|tia sáng, lấp lánh
光彩|guāngcǎi|ánh sáng,
供给|gōngjǐ|cung cấp
供不应求|gōngbùyìngqiú|cung không đủ cầu
个体|gètǐ|cá thể, cá nhâ
黄昏|huánghūn|hoàng hôn
还原|huányuán|quay về trạng thái cũ
辉煌|huīhuáng|huy hoàng
轰动|hōngdòng|chấn động, náo động
贿赂|huìlù|hối lộ
货币|huòbì|tiền
豪迈|háomài|khí phách hào hùng
话筒|huàtǒng|microphone
行列|hángliè|hàng lối
荤|hūn|đồ mặn (trái nghĩa đồ chay)
荒谬|huāngmiù|hoang vu
荒唐|huāngtáng|hoang đường
荒凉|huāngliáng|hoang sơ
花蕾|huālěi|nụ hoa
花瓣|huābàn|cánh hoa
航行|hángxíng|vận chuyển, đi
航空|hángkōng|hàng không
航天|hángtiān|hàng không vũ trụ
胡须|húxū|râu
胡乱|húluàn|loạn xạ
耗费|hàofèi|hao tổn
罕见|hǎnjiàn|hiếm thấy
缓和|huǎnhé|hòa dịu
皇帝|huángdì|hoàng đề
皇后|huánghòu|hoàng hậu
痕迹|hénjì|dấu vết, vết tích
画蛇添足|huàshétiānzú|vẽ rắn thêm chân
环节|huánjié|phân đoạn, mắt xích, vòng
狠心|hěnxīn|nhẫn tâm
烘|hōng|sấy, nướng
火药|huǒyào|thuốc súng
火箭|huǒjiàn|tên lửa
火焰|huǒyàn|pháo hoa
湖泊|húpō|hồ nước
混淆|hùnxiáo|lẫn lộn
混浊|húnzhuó|đục (trái nghĩa trong)
混合|hùnhé|hộn hợp
混乱|hùnluàn|hỗn loạn
海滨|hǎibīn|ven biển
海拔|hǎibá|mực nước biển
浑身|húnshēn|khắp người
活该|huógāi|đáng đời
